STT,URL_goc,Trang_web,Trang_thai,Thoi_gian_crawl,Liên hệ,Ngày đăng,Ngày hết hạn,NĂM,Đơn vị tuyển dụng,Lĩnh vực,Vị trí,Số lượng tuyển,Nơi làm việc,Mô tả,"Mô tả yêu cầu công việc (chuẩn hoá mô tả,…)",Kiến thức,"Kiến thức (chuẩn hoá môn gì,…)","Kiến thức về Hệ điều hành (Windows, Linux, MacOS,…) Unix","Kiến thức về Cơ sở dữ liệu (MySQL, Postgrespl, SQL Server,...) Oracle, MsSQL, APAC, NoSQL","Ngôn ngữ lập trình căn bản (C, C++,...) Java","Ngôn ngữ lập trình nâng cao (.NET, C#, Python,...) Ruby, VBScript, VB.Net VBA","Ngôn ngữ lập trình Web (HTML, DOM, Xpath, CSS, Javascript,...) Ui Element, MVC, ASP.NET","Tích hợp hệ thống (Web Services, AWS, JSON, XML,...) APIs","Một số công nghệ mới nổi (AI, Big Data, Blockchain, RFID, IoT,…) BI Tool, Đám mây(Azure, Máy ảo), ML","Một số công nghệ tự động hóa (Selenium, UiPath, SAP iRPA, RPA, Power Automation, Blue Prism, Automation Anywhere,…)","Quản lý dự án (Agile, Scrum, Git,...) Kanban, BA, BPM, Jira",Kỹ năng,"Kỹ năng (chuẩn hoá kỹ năng gì,…)",Ngoại ngữ tiếng Anh,"Ngoại ngữ khác (Nhật, Trung, Pháp,...)","Kỹ năng mềm (Giao tiếp, làm việc cộng tác,…)",Thái độ,Thái độ (chuẩn hoá thái độ gì),"Thái độ (có tinh thần cầu tiền, tuân thủ kỷ luật,..)",Kinh nghiệm,Kinh nghiệm (chuẩn hoá kinh nghiệm gì),Khác,Khác (chuẩn hoá),"Bằng cấp đúng chuyên môn (CNTT, HTTTQL, HTTT,…)","Có chứng chỉ liên quan đến RPA (UiPath, Blue Prism, Power BI,...)",Có kinh nghiệm liên quan đến Tự động hóa,Kinh nghiệm làm việc,Thu nhập & Quyền lợi,Thu nhập & quyền lợi (chuẩn hoá),Hình thức làm việc
11,https://www.topcv.vn/viec-lam/rpa-developer-all-level-c-c-python-vb-script-ruby-java-js-net/1871516.html?ta_source=JobSearchList_LinkDetail&u_sr_id=rXaJzwUy640546xYeHZafmg93aVXa9sQ9rH2qxc0_1758022824,topcv.vn,THÀNH_CÔNG,2025-09-16 23:58:29,N/A,N/A,N/A,N/A,FPT,Công nghệ thông tin,RPA Developer,N/A,"Hà Nội: FPT Tower, Số 10 Phạm Văn Bạch, Cầu Giấy","Collaborate with cross-functional teams to define and deliver automation projects that meet business needs
Setting up, testing and monitoring automated workflows to ensure that business processes function at optimum efficiency without risk of error
Deploy RPA components, including bots, robots, developmental tools, code repositories, and logging tools
Support the launch and implementation of RPA solutions
Create, maintain, and support existing robots
Design and develop user interfaces for RPA interaction
Assist with quality assurance of the automation
Drive the adoption of best practices around coding, design, quality, and performance
Support UATs execution and solution deployment in multiple environments
Support operations after go-live, monitoring and measuring the solution effectiveness
Revise and improve codes of existing solutions based on feedback from customers - performing code optimization and identifying potential issues and defects and fixing the same",N/A,"Kiến thức về UI elements, APIs, Database interfaces",N/A,N/A,N/A,"C/C++, Java",".NET, Python, Ruby, VB Script",JS,APIs,N/A,RPA,N/A,"Phân tích, giải quyết vấn đề, giao tiếp, trình bày, làm việc nhóm, làm việc độc lập","Phân tích, giải quyết vấn đề, giao tiếp, trình bày, làm việc nhóm",Good English is plus,N/A,"Giao tiếp, làm việc nhóm, làm việc độc lập",N/A,N/A,N/A,"Có kinh nghiệm với ít nhất một trong các ngôn ngữ lập trình: C/C++, Python, VB Script, Ruby, Java, JS, .Net","Lập trình C/C++, Python, VB Script, Ruby, Java, JS, .Net",N/A,N/A,Tốt nghiệp chuyên ngành CNTT hoặc các ngành liên quan,N/A,N/A,N/A,"Attractive salary. Performance based award. Salary: Very competitive. “FPT care” health insurance provided by PJICO and is exclusive for FPT employees. Have a chance to go Onsite short-term or long-term. Young and dynamic working environment. Continuous development of hard and soft skills through work and professional training. Opportunity to approach newest technology trends. Exciting leisure: sport and art events (football club, family day...). Company’s labor policy completely pursuant to Vietnamese labor legislation plus other benefits offered by the company (Company trip, Holiday, etc.).","Lương cạnh tranh, thưởng hiệu quả công việc, bảo hiểm FPT care, cơ hội làm việc tại nước ngoài, môi trường làm việc trẻ trung, năng động, cơ hội phát triển kỹ năng chuyên môn và kỹ năng mềm, cơ hội tiếp cận công nghệ mới, các hoạt động giải trí, chính sách lao động tuân thủ luật lao động Việt Nam và các phúc lợi khác (du lịch công ty, ngày lễ,...)",N/A
12,https://www.topcv.vn/viec-lam/rpa-developer/1171884.html,topcv.vn,THÀNH_CÔNG,2025-09-16 23:58:42,N/A,N/A,N/A,N/A,N/A,"Công nghệ phần mềm, RPA",RPA Developer,N/A,Hà Nội: Thanh Xuân,"Tham gia vào xu hướng công nghệ phần mềm về RPA (Robotic Process Automation) đầy hứa hẹn
Phối hợp xây dựng và phát triển các dự án RPA cho khách hàng tại Phần Lan, Chile và Việt Nam
Làm việc trực tiếp với khách hàng, điều phối các hoạt động cùng Team và xử lý công việc hàng ngày một cách hiệu quả
Thực hiện các công việc khác liên quan",N/A,"RPA (Robotic Process Automation), Tiếng Anh",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,RPA,N/A,"Làm việc độc lập, làm việc nhóm, phân tích và giải quyết vấn đề, giao tiếp tiếng Anh","Giải quyết vấn đề, Giao tiếp, Làm việc nhóm",Khá,N/A,Giao tiếp,"Có tinh thần cầu tiến, sẵn sàng học hỏi và tìm hiểu những kiến thức mới","Cầu tiến, Học hỏi",Có tinh thần cầu tiến,N/A,N/A,N/A,N/A,Đại học trở lên,N/A,N/A,N/A,"Thu nhập hấp dẫn lên đến 30.000.000 VNĐ tùy theo năng lực, xét duyệt theo lộ trình công ty.
Thưởng lương tháng 13, thưởng phụ cấp
Đóng BHXH với mức lương thực nhận ngay từ khi thử việc
Nghỉ phép năm: 12 ngày/năm
Được cung cấp chi phí gửi xe cùng trang thiết bị như Laptop, chuột,...
Company trip, teambuilding, party hàng tháng
Cà phê & đồ ăn nhẹ miễn phí
Làm việc từ thứ Hai đến thứ Sáu, 8h30 đến 17h30","30.000.000 VNĐ, Thưởng tháng 13, Phụ cấp, BHXH, Nghỉ phép 12 ngày/năm, Laptop, Company trip, Teambuilding",N/A
13,https://www.topcv.vn/viec-lam/rpa-developer/1203001.html,topcv.vn,THÀNH_CÔNG,2025-09-16 23:58:54,N/A,N/A,N/A,N/A,N/A,N/A,RPA Developer,N/A,"Hồ Chí Minh: Ree Tower, 9 Đoàn Văn Bơ, Phường 13, Quận 4","Own the development, testing and maintenance of RPA processes and automation using UiPath and other programming languages. Ensure bots uptime, automation availability and accuracy in the environments. Monitor recurring processes and ensure output accuracy and timely. Identify, troubleshoot, and resolve automations downtime due to errors and issues. Responsible for maintenance, documentation, and enhancements of existing and new processes and procedures",N/A,"Kiến thức về RPA, API, ngôn ngữ lập trình (Python, C#, Visual Basic), quy trình kinh doanh (HR, Tài chính, Kế toán)",N/A,N/A,N/A,N/A,"Python, C#, Visual Basic",N/A,API,N/A,UiPath,N/A,"Quản lý dự án, giao tiếp, phân tích dữ liệu","Quản lý dự án, Giao tiếp, Phân tích dữ liệu",N/A,N/A,"Giao tiếp, làm việc nhóm","Có tinh thần chủ động, trách nhiệm, cẩn thận","Chủ động, Trách nhiệm, Cẩn thận",N/A,"Kinh nghiệm về RPA, thiết kế quy trình, phát triển, gỡ lỗi, kiểm thử và triển khai","RPA, Thiết kế quy trình, Phát triển phần mềm, Khắc phục sự cố, Kiểm thử phần mềm, Triển khai phần mềm",N/A,N/A,"Cử nhân khoa học máy tính, phân tích kinh doanh, phân tích dữ liệu, trí tuệ kinh doanh hoặc lĩnh vực liên quan",N/A,Có,N/A,"Lương cạnh tranh, thưởng Tết 13 tháng, thưởng hiệu quả 6 tháng/lần, xem xét lương hàng năm, thưởng nhân viên xuất sắc, bảo hiểm xã hội, bảo hiểm y tế, bảo hiểm PTI, khám sức khỏe hàng năm, môi trường tiếng Anh, văn hóa cởi mở, các khóa đào tạo, các hoạt động đa dạng, văn phòng hiện đại, phụ cấp khác","Lương cạnh tranh, Thưởng Tết, Thưởng hiệu quả, Bảo hiểm xã hội, Bảo hiểm y tế, Khám sức khỏe, Đào tạo, Văn phòng hiện đại, Phụ cấp",N/A
14,https://www.topcv.vn/viec-lam/fresher-junior-rpa-robotic-process-automation-hybrid/1015644.html,topcv.vn,PHÂN_TÍCH_THẤT_BẠI,2025-09-16 23:59:06,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,N/A,CRAWL_THẤT_BẠI,N/A,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI
15,https://www.topcv.vn/viec-lam/rpa-developer-dev-robot/286532.html?basic-ui=1,topcv.vn,PHÂN_TÍCH_THẤT_BẠI,2025-09-16 23:59:08,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,N/A,CRAWL_THẤT_BẠI,N/A,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI
16,https://itviec.com/viec-lam-it/rpa?job_selected=automation-developer-rpa-developer-python-javascript-cong-ty-cp-cmc-media-5616,itviec.com,KHÔNG_TẢI_ĐƯỢC_TRANG,2025-09-16 23:59:11,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,N/A,CRAWL_THẤT_BẠI,N/A,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI
17,https://topdev.vn/viec-lam/rpa-developer-cong-ty-co-phan-cc1-holdings-2054263?src=topdev_search&medium=searchresult,topdev.vn,PHÂN_TÍCH_THẤT_BẠI,2025-09-16 23:59:11,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,N/A,CRAWL_THẤT_BẠI,N/A,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI
18,https://topdev.vn/viec-lam/robot-process-automation-developer-cong-ty-tnhh-socotec-viet-nam-2047513?src=topdev_search&medium=searchresult,topdev.vn,THÀNH_CÔNG,2025-09-16 23:59:14,0888 1555 00 - contact@topdev.vn,1 tuần trước,1 ngày tới,N/A,CÔNG TY TNHH SOCOTEC VIỆT NAM,N/A,ROBOT PROCESS AUTOMATION DEVELOPER,N/A,"Quận Ba Đình, Hà Nội; Tầng 12A, Toà nhà AP Tower, 518B Điện Biên Phủ, Phường 21, Quận Bình Thạnh, Thành phố Hồ Chí Minh",ROBOT PROCESS AUTOMATION DEVELOPER tại CÔNG TY TNHH SOCOTEC VIỆT NAM,N/A,"RPA, Automation Developer",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"UiPath, RPA",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Năm kinh nghiệm tối thiểu Từ 3 năm,3 năm kinh nghiệm,N/A,N/A,N/A,N/A,Có,3,Đăng nhập để xem mức lương,N/A,"Fulltime, In Office"
19,https://www.vietnamworks.com/rpa-developer-automation-anywhere-power-automate-1936200-jv?source=searchResults&searchType=2&placement=1936200&sortBy=relevance,vietnamworks.com,PHÂN_TÍCH_THẤT_BẠI,2025-09-16 23:59:23,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,N/A,CRAWL_THẤT_BẠI,N/A,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI
20,https://vn.linkedin.com/jobs/view/robot-process-automation-developer-at-socotec-4301121196?position=1&pageNum=0&refId=S7%2FHsKB92ECGzWXsVkdMDw%3D%3D&trackingId=S5K9wzHgYwERPL8mWgyd6Q%3D%3D,vn.linkedin.com,KHÔNG_TẢI_ĐƯỢC_TRANG,2025-09-16 23:59:25,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,N/A,CRAWL_THẤT_BẠI,N/A,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI
21,https://vn.linkedin.com/jobs/view/rpa-engineer-at-sleek-4289733600?position=2&pageNum=0&refId=S7%2FHsKB92ECGzWXsVkdMDw%3D%3D&trackingId=K%2FFybDKyPrZqQqPvhD0pGQ%3D%3D,vn.linkedin.com,KHÔNG_TẢI_ĐƯỢC_TRANG,2025-09-16 23:59:30,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,N/A,CRAWL_THẤT_BẠI,N/A,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI
22,https://vn.linkedin.com/jobs/view/remote-junior-full-stack-developer-rpa-web-automation-%24900-at-wao-corporation-4301111931?position=6&pageNum=0&refId=8uWYlk5mb7Yw3Svd6NCTjQ%3D%3D&trackingId=3Znhy4sru74YkYvJ12eRBw%3D%3D,vn.linkedin.com,KHÔNG_TẢI_ĐƯỢC_TRANG,2025-09-16 23:59:35,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,N/A,CRAWL_THẤT_BẠI,N/A,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI
23,https://www.facebook.com/groups/rpavn/posts/1831525147773883/,facebook.com,PHÂN_TÍCH_THẤT_BẠI,2025-09-16 23:59:40,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,N/A,CRAWL_THẤT_BẠI,N/A,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI
24,https://www.facebook.com/projob.vn/posts/hn-c%C3%B4ng-ty-sisua-digital-vi%E1%BB%87t-nam-tuy%E1%BB%83n-d%E1%BB%A5ng-nh%C3%A2n-vi%C3%AAn-rpa-developer-full-time-2/1095607389351128/,facebook.com,PHÂN_TÍCH_THẤT_BẠI,2025-09-16 23:59:42,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,N/A,CRAWL_THẤT_BẠI,N/A,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI
25,https://www.facebook.com/photo/?fbid=1421807822754221&set=gm.1022520983218784&idorvanity=982148563922693,facebook.com,PHÂN_TÍCH_THẤT_BẠI,2025-09-16 23:59:44,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,N/A,CRAWL_THẤT_BẠI,N/A,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI
26,https://jobs.community.kaplan.com/career/rpa-engineer-robotic-process-automation-engineer/job-descriptions?utm_source=chatgpt.com,jobs.community.kaplan.com,PHÂN_TÍCH_THẤT_BẠI,2025-09-16 23:59:46,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,N/A,CRAWL_THẤT_BẠI,N/A,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI,CRAWL_THẤT_BẠI
